Wall time,Step,Value
1604288052.7443905,0,3.1414546966552734
1604288052.7478797,0,3.139451265335083
1604288052.7510526,0,2.7397329807281494
1604288052.7542114,0,2.3547065258026123
1604288052.757487,0,2.253274917602539
1604288052.7608964,0,2.030834197998047
1604288052.7644272,0,1.7862839698791504
1604288052.7681072,0,1.6001770496368408
1604288052.7719035,0,1.3462474346160889
1604288052.7758381,0,1.2046033143997192
1604288052.7798755,0,1.1311430931091309
1604288052.7840304,0,1.0464801788330078
1604288052.788328,0,0.927256166934967
1604288052.7927716,0,0.8200816512107849
1604288052.797316,0,0.6802568435668945
1604288052.8020172,0,0.6031641960144043
1604288052.8068247,0,0.5632610321044922
1604288052.8117623,0,0.5084600448608398
1604288052.8168583,0,0.48639848828315735
1604288052.8220544,0,0.46160703897476196
1604288052.8274014,1,0.4396704435348511
1604288052.8327703,1,0.42702215909957886
1604288052.8383195,1,0.41869938373565674
1604288052.8440254,1,0.40438854694366455
1604288052.8498456,1,0.40055444836616516
1604288052.8557773,1,0.3959839344024658
1604288052.8618536,1,0.39101529121398926
1604288052.86806,1,0.38792458176612854
1604288052.8743799,1,0.38323062658309937
1604288052.8808372,1,0.38577213883399963
1604288052.8874042,1,0.3803303837776184
1604288052.894108,1,0.37982314825057983
1604288052.900949,1,0.37812960147857666
1604288052.9079258,1,0.37702375650405884
1604288052.9150376,1,0.3765624761581421
1604288052.9222703,1,0.37569576501846313
1604288052.9296286,1,0.37549635767936707
1604288052.9371288,1,0.3750922679901123
1604288052.944711,1,0.3748008608818054
1604288052.9524333,1,0.3745100796222687
1604288052.960335,2,0.37434011697769165
1604288052.9682488,2,0.37419143319129944
1604288052.9763174,2,0.3740170896053314
1604288052.984509,2,0.3740519881248474
1604288052.9928591,2,0.37383559346199036
1604288053.001342,2,0.3738040328025818
1604288053.009939,2,0.3737514913082123
1604288053.018704,2,0.37370550632476807
1604288053.0275357,2,0.3737000823020935
1604288053.036511,2,0.3736558258533478
1604288053.0456798,2,0.37364763021469116
1604288053.0549133,2,0.3736308217048645
1604288053.0642474,2,0.37361395359039307
1604288053.073737,2,0.37359994649887085
1604288053.0833387,2,0.3736021816730499
1604288053.093097,2,0.37359434366226196
1604288053.1029832,2,0.37359362840652466
1604288053.1129785,2,0.37359166145324707
1604288053.1230943,2,0.37359023094177246
1604288053.133343,2,0.37358999252319336
